State,"Number of Fatalities, 2012","Rate of Fatalities, 2012","State Rank, Fatalities 2012",Number of Injuries/Illnesses 2012,Injuries/Illnesses 2012 Rate,Penalties FY 2013 (Average $),Penalties FY 2013 (Rank),Inspectors,Years to Inspect Each Workplace Once,State or Federal Program,State Population 2012,"Number of Fatalities per 100,000 (2012)",,,"Number of Injuries/Illnesses per 100,000 (2012)"
"South Carolina
(33.99882060100049, -81.04536765699964)",63,3.5,25,36200,3,492,49,24,111,State,4719027,1.335020969,767.1072872,,
"West Virginia
(38.665511497000466, -80.71263935099967)",49,6.9,46,19800,4.1,1798,27,7,173,Federal,1857446,2.638030931,1065.979845,,
"Massachusetts
(42.27687306500047, -72.08268985899963)",44,1.4,1,69700,3.1,1929,21,33,123,Federal,6664269,0.660237454,1045.876149,,
"Tennessee
(35.680943063000484, -85.77448642199965)",101,3.8,30,65100,3.5,727,45,30,82,State,6455752,1.564496282,1008.403049,,
"Oklahoma
(35.472034350000456, -97.52106845499969)",97,6.1,42,39000,3.6,1872,24,19,131,Federal,3819320,2.539719112,1021.124179,,
"Illinois
(40.48501278700047, -88.99770813999965)",146,2.5,10,124900,3.2,1876,23,74,137,Federal,12883029,1.13327386,969.4925006,,
"Nebraska
(41.64104043900045, -99.36571864599966)",48,5.2,38,24300,3.9,2565,5,9,128,Federal,1853691,2.589428335,1310.898095,,
"Delaware
(39.00883351400046, -75.57773943699965)",14,3.1,18,7900,2.8,2406,6,5,175,Federal,915518,1.52918894,862.8994733,,
"Hawaii
(21.30485166200043, -157.85774691599974)",20,3.4,22,13700,3.8,964,39,20,79,State,1395199,1.433487266,981.9387772,,
"Iowa
(42.469404401000475, -93.81648936699969)",97,6.6,44,45600,4.5,790,43,26,98,State,3076844,3.152581021,1482.038088,,
"Arizona
(34.865973091000455, -111.76380949799972)",60,2.3,6,54400,3.2,891,40,30,126,State,6556344,0.915144172,829.7307158,,
"Florida
(28.932042899000464, -81.92895558499964)",218,2.7,15,,,1821,25,60,238,Federal,19302016,1.129415705,,,
"Virginia
(37.54268075100049, -78.45788924199968)",149,3.8,30,66200,2.7,726,46,48,82,State,8187456,1.819857108,808.5539635,,
"Missouri
(38.63579372300046, -92.56629737199967)",88,3.3,21,60300,3.3,1931,20,26,118,Federal,6026027,1.46033199,1000.659307,,
"Michigan
(44.66131575600048, -84.71438724399968)",137,3.4,22,105500,4,542,48,63,45,State,9898289,1.384077592,1065.840773,,
"Indiana
(39.76691364600049, -86.14995579899966)",115,4.2,33,77900,3.9,1054,34,39,104,State,6538989,1.758681656,1191.315661,,
"North Carolina
(35.46622388600048, -79.15924924699965)",146,3.5,25,75900,2.9,996,38,104,60,State,9751810,1.497157963,778.3170509,,
"New Hampshire
(43.6559537330005, -71.50035726399966)",14,2.2,4,,,2243,8,7,119,Federal,1324677,1.056861408,,,
"New Mexico
(34.52088247800049, -106.24057768899968)",39,4.8,35,19900,3.9,998,37,9,191,State,2087715,1.868071073,953.1952398,,
"Pennsylvania
(40.79373106100047, -77.86069775999965)",194,3.4,22,155300,3.9,1916,22,57,125,Federal,12769123,1.519289931,1216.215084,,
"South Dakota
(44.35313342000046, -100.37352811899967)",31,6.7,45,,,2346,7,,521,Federal,833859,3.717654903,,,
"New York
(42.82700023900048, -75.54396639699968)",202,2.4,8,146300,2.5,2016,17,105,184,Federal,19574362,1.031962115,747.4062245,,
"Utah
(39.36070374600047, -111.5871285339997)",39,3,17,27700,3.4,1053,35,22,81,State,2854146,1.366433252,970.5179763,,
"Maine
(45.254228663000504, -68.98502952999962)",19,3.2,20,21200,5.6,2083,14,8,80,Federal,1328094,1.430621628,1596.272553,,
"Montana
(47.066526051000494, -109.42441687999968)",34,7.3,47,13300,5,1983,18,7,135,Federal,1004168,3.38588762,1324.479569,,
"Vermont
(43.62538292400046, -72.51763944499965)",11,3.5,25,9900,5,1008,36,9,68,State,626361,1.756175752,1580.558177,,
"Arkansas
(34.748651751000466, -92.27448794899965)",63,5.4,39,26600,3.2,2569,4,9,237,Federal,2952876,2.133513226,900.8166953,,
"Nevada
(39.49324126500045, -117.07183978499972)",42,3.6,29,32400,4.1,2133,13,44,49,State,2744670,1.530238608,1180.469783,,
"Kentucky
(37.645973909000475, -84.77496612599964)",91,4.9,37,48900,4.1,3254,2,39,124,State,4387865,2.073901544,1114.437204,,
"Maryland
(39.2905806980005, -76.60925970899967)",72,2.6,12,51900,3.1,685,47,48,108,State,5888375,1.222748212,881.3976691,,
"Alabama
(32.84057327200048, -86.63185803899967)",84,4.3,34,41200,3.3,1803,26,24,94,Federal,4816632,1.743957188,855.3694781,,
"Connecticut
(41.56266394200048, -72.64983753699966)",36,2.1,3,43800,3.9,1735,30,24,107,Federal,3595211,1.00133205,1218.287327,,
